FIPS,County,None,D0,D1,D2,D3,D4,Date
6001,Alameda ,0,100,100,95.42,0,0,9/29/2020
6003,Alpine ,0,100,100,0,0,0,9/29/2020
6005,Amador ,0,100,100,0,0,0,9/29/2020
6007,Butte ,0,100,100,100,66.33,0,9/29/2020
6009,Calaveras ,0,100,100,0,0,0,9/29/2020
6011,Colusa ,0,100,100,100,100,0,9/29/2020
6013,Contra Costa ,0,100,100,100,0,0,9/29/2020
6015,Del Norte ,0,100,100,100,1.87,0,9/29/2020
6017,El Dorado ,0,100,100,0,0,0,9/29/2020
6019,Fresno ,0,100,59.72,0,0,0,9/29/2020
6021,Glenn ,0,100,100,100,100,0,9/29/2020
6023,Humboldt ,0,100,100,75.29,0.69,0,9/29/2020
6025,Imperial ,0,100,93.91,0,0,0,9/29/2020
6027,Inyo ,0,100,85.98,4.8,0,0,9/29/2020
6029,Kern ,58.27,41.73,0,0,0,0,9/29/2020
6031,Kings ,10.74,89.26,0,0,0,0,9/29/2020
6033,Lake ,0,100,100,100,100,0,9/29/2020
6035,Lassen ,0,100,100,100,2.15,0,9/29/2020
6037,Los Angeles ,80.9,19.1,0,0,0,0,9/29/2020
6039,Madera ,0,100,100,0,0,0,9/29/2020
6041,Marin ,0,100,100,100,0,0,9/29/2020
6043,Mariposa ,0,100,100,0,0,0,9/29/2020
6045,Mendocino ,0,100,100,100,48.71,0,9/29/2020
6047,Merced ,0,100,81.86,0,0,0,9/29/2020
6049,Modoc ,0,100,100,100,2.57,0,9/29/2020
6051,Mono ,0,100,100,1.91,0,0,9/29/2020
6053,Monterey ,83.29,16.71,0,0,0,0,9/29/2020
6055,Napa ,0,100,100,100,89.6,0,9/29/2020
6057,Nevada ,0,100,100,65.16,0,0,9/29/2020
6059,Orange ,100,0,0,0,0,0,9/29/2020
6061,Placer ,0,100,100,20.25,0,0,9/29/2020
6063,Plumas ,0,100,100,100,0,0,9/29/2020
6065,Riverside ,21.93,78.07,55.51,0,0,0,9/29/2020
6067,Sacramento ,0,100,100,89.55,16.91,0,9/29/2020
6069,San Benito ,0.33,99.67,0.39,0,0,0,9/29/2020
6071,San Bernardino ,2.44,97.56,52.06,16.85,0,0,9/29/2020
6073,San Diego ,56.67,43.33,1.01,0,0,0,9/29/2020
6075,San Francisco ,0,100,100,100,0,0,9/29/2020
6077,San Joaquin ,0,100,100,81.55,0,0,9/29/2020
6079,San Luis Obispo ,100,0,0,0,0,0,9/29/2020
6081,San Mateo ,0,100,100,59.38,0,0,9/29/2020
6083,Santa Barbara ,100,0,0,0,0,0,9/29/2020
6085,Santa Clara ,0,100,94.91,2.97,0,0,9/29/2020
6087,Santa Cruz ,0.81,99.19,57.78,0,0,0,9/29/2020
6089,Shasta ,0,100,100,100,14.47,0,9/29/2020
6091,Sierra ,0,100,100,97.3,0,0,9/29/2020
6093,Siskiyou ,0,100,100,100,70.2,0,9/29/2020
6095,Solano ,0,100,100,100,57,0,9/29/2020
6097,Sonoma ,0,100,100,100,10.56,0,9/29/2020
6099,Stanislaus ,0,100,100,0,0,0,9/29/2020
6101,Sutter ,0,100,100,100,90.12,0,9/29/2020
6103,Tehama ,0,100,100,100,70.84,0,9/29/2020
