STATION,NAME,DATE,TAVG
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/1/1996,60
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/2/1996,58
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/3/1996,58
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/4/1996,61
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/5/1996,62
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/6/1996,63
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/7/1996,69
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/8/1996,69
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/9/1996,66
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/10/1996,59
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/11/1996,62
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/12/1996,59
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/13/1996,58
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/14/1996,58
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/15/1996,65
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/16/1996,61
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/17/1996,60
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/18/1996,60
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/19/1996,57
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/20/1996,56
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/21/1996,59
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/22/1996,64
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/23/1996,71
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/24/1996,76
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/25/1996,75
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/26/1996,80
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/27/1996,76
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/28/1996,67
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/29/1996,65
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",4/30/1996,72
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/1/1996,76
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/2/1996,74
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/3/1996,77
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/4/1996,71
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/5/1996,72
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/6/1996,71
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/7/1996,70
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/8/1996,70
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/9/1996,72
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/10/1996,76
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/11/1996,82
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/12/1996,85
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/13/1996,79
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/14/1996,77
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/15/1996,74
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/16/1996,69
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/17/1996,72
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/18/1996,74
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/19/1996,70
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/20/1996,69
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/21/1996,64
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/22/1996,70
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/23/1996,67
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/24/1996,57
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/25/1996,58
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/26/1996,68
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/27/1996,68
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/28/1996,72
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/29/1996,69
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/30/1996,67
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",5/31/1996,73
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",6/1/1996,78
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",6/2/1996,83
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",6/3/1996,86
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",6/4/1996,87
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",6/5/1996,86
USR0000CYUC,"YUCCA VALLEY CALIFORNIA, CA US",6/6/1996,87
