"STATION","NAME","DATE","TAVG","TMAX"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-01","60","77"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-02","58","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-03","58","78"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-04","61","73"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-05","62","73"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-06","63","82"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-07","69","88"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-08","69","86"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-09","66","82"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-10","59","77"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-11","62","78"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-12","59","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-13","58","75"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-14","58","76"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-15","65","81"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-16","61","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-17","60","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-18","60","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-19","57","76"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-20","56","73"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-21","59","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-22","64","83"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-23","71","92"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-24","76","91"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-25","75","90"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-26","80","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-27","76","93"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-28","67","77"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-29","65","83"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-30","72","94"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-01","76","95"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-02","74","93"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-03","77","90"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-04","71","89"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-05","72","89"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-06","71","90"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-07","70","89"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-08","70","86"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-09","72","91"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-10","76","97"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-11","82","104"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-12","85","103"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-13","79","99"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-14","77","92"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-15","74","88"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-16","69","83"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-17","72","90"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-18","74","88"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-19","70","88"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-20","69","90"
