"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-01","60","77","41"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-02","58","72","41"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-03","58","78","36"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-04","61","73","43"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-05","62","73","51"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-06","63","82","43"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-07","69","88","45"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-08","69","86","48"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-09","66","82","45"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-10","59","77","39"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-11","62","78","47"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-12","59","74","42"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-13","58","75","43"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-14","58","76","39"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-15","65","81","42"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-16","61","74","50"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-17","60","72","48"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-18","60","72","44"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-19","57","76","38"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-20","56","73","40"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-21","59","74","37"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-22","64","83","40"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-23","71","92","46"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-24","76","91","52"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-25","75","90","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-26","80","99","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-27","76","93","56"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-28","67","77","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-29","65","83","48"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-04-30","72","94","46"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-01","76","95","51"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-02","74","93","51"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-03","77","90","57"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-04","71","89","48"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-05","72","89","49"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-06","71","90","48"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-07","70","89","49"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-08","70","86","50"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-09","72","91","51"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-10","76","97","50"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-11","82","104","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-12","85","103","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-13","79","99","58"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-14","77","92","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-15","74","88","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-16","69","83","54"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-17","72","90","50"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-18","74","88","61"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-19","70","88","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-20","69","90","47"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-21","64","82","51"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-22","70","86","56"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-23","67","85","53"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-24","57","65","49"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-25","58","74","48"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-26","68","83","47"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-27","68","82","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-28","72","89","54"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-29","69","83","52"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-30","67","86","45"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-05-31","73","92","48"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-01","78","99","54"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-02","83","102","58"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-03","86","109","61"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-04","87","106","67"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-05","86","103","63"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-06","87","102","65"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-07","87","103","72"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-08","86","100","68"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-09","84","103","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-10","84","101","62"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-11","79","95","58"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-12","79","96","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-13","78","96","54"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-14","80","97","56"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-15","80","95","57"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-16","81","96","60"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-17","80","99","55"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-18","81","100","54"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-19","85","103","59"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-20","82","97","58"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-21","73","89","51"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-22","76","95","52"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-23","78","95","56"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-24","71","90","58"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-25","74","92","52"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-26","66","75","52"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-27","65","82","43"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-28","71","91","49"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-29","86","101","58"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-06-30","83","106","61"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-01","88","108","65"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-02","92","106","70"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-03","86","103","74"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-04","88","105","69"
"USR0000CYUC","YUCCA VALLEY CALIFORNIA, CA US","1996-07-05","88","105","67"
