"STATION","NAME","DATE","TAVG","TMAX"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-01","43","57"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-02","38","52"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-03","38","55"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-04","42","52"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-05","45","54"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-06","45","63"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-07","47","68"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-08","48","67"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-09","46","62"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-10","40","56"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-11","44","60"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-12","42","56"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-13","41","57"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-14","37","59"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-15","45","62"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-16","41","51"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-17","41","49"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-18","38","48"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-19","37","56"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-20","40","59"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-21","41","58"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-22","46","66"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-23","51","72"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-24","56","75"
