"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-01","43","57","30"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-02","38","52","25"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-03","38","55","21"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-04","42","52","26"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-05","45","54","39"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-06","45","63","29"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-07","47","68","27"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-08","48","67","31"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-09","46","62","29"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-10","40","56","23"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-11","44","60","32"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-12","42","56","30"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-13","41","57","25"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-14","37","59","26"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-15","45","62","28"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-16","41","51","33"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-17","41","49","35"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-18","38","48","24"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-19","37","56","19"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-20","40","59","28"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-21","41","58","25"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-22","46","66","24"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-23","51","72","31"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-24","56","75","38"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-25","60","74","44"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-26","62","77","44"
"USR0000CFAW","FAWNSKIN CALIFORNIA, CA US","1996-04-27","58","75","41"
