STATION,NAME,DATE,TMAX,TMIN,TAVG
USC00041758,"CHULA VISTA, CA US",4/1/1996,70,47,59
USC00041758,"CHULA VISTA, CA US",4/2/1996,68,57,63
USC00041758,"CHULA VISTA, CA US",4/3/1996,66,50,58
USC00041758,"CHULA VISTA, CA US",4/4/1996,70,53,62
USC00041758,"CHULA VISTA, CA US",4/5/1996,85,51,68
USC00041758,"CHULA VISTA, CA US",4/6/1996,85,56,71
USC00041758,"CHULA VISTA, CA US",4/7/1996,76,56,66
USC00041758,"CHULA VISTA, CA US",4/8/1996,74,55,65
USC00041758,"CHULA VISTA, CA US",4/9/1996,68,57,63
USC00041758,"CHULA VISTA, CA US",4/10/1996,67,55,61
USC00041758,"CHULA VISTA, CA US",4/11/1996,68,57,63
USC00041758,"CHULA VISTA, CA US",4/12/1996,67,53,60
USC00041758,"CHULA VISTA, CA US",4/13/1996,67,53,60
USC00041758,"CHULA VISTA, CA US",4/14/1996,79,52,66
USC00041758,"CHULA VISTA, CA US",4/15/1996,70,50,60
USC00041758,"CHULA VISTA, CA US",4/16/1996,71,51,61
USC00041758,"CHULA VISTA, CA US",4/17/1996,70,61,66
USC00041758,"CHULA VISTA, CA US",4/18/1996,69,60,65
USC00041758,"CHULA VISTA, CA US",4/19/1996,70,50,60
USC00041758,"CHULA VISTA, CA US",4/20/1996,70,48,59
USC00041758,"CHULA VISTA, CA US",4/21/1996,69,54,62
USC00041758,"CHULA VISTA, CA US",4/22/1996,77,50,64
USC00041758,"CHULA VISTA, CA US",4/23/1996,80,54,67
USC00041758,"CHULA VISTA, CA US",4/24/1996,80,54,67
USC00041758,"CHULA VISTA, CA US",4/25/1996,70,58,64
USC00041758,"CHULA VISTA, CA US",4/26/1996,70,60,65
USC00041758,"CHULA VISTA, CA US",4/27/1996,68,59,64
USC00041758,"CHULA VISTA, CA US",4/28/1996,71,59,65
USC00041758,"CHULA VISTA, CA US",4/29/1996,91,54,73
USC00041758,"CHULA VISTA, CA US",4/30/1996,88,57,73
USC00041758,"CHULA VISTA, CA US",5/1/1996,80,58,69
USC00041758,"CHULA VISTA, CA US",5/2/1996,70,60,65
USC00041758,"CHULA VISTA, CA US",5/3/1996,71,63,67
USC00041758,"CHULA VISTA, CA US",5/4/1996,70,60,65
USC00041758,"CHULA VISTA, CA US",5/5/1996,72,57,65
USC00041758,"CHULA VISTA, CA US",5/6/1996,75,57,66
USC00041758,"CHULA VISTA, CA US",5/7/1996,74,58,66
USC00041758,"CHULA VISTA, CA US",5/8/1996,73,58,66
USC00041758,"CHULA VISTA, CA US",5/9/1996,72,60,66
USC00041758,"CHULA VISTA, CA US",5/10/1996,78,59,69
USC00041758,"CHULA VISTA, CA US",5/11/1996,82,60,71
USC00041758,"CHULA VISTA, CA US",5/12/1996,78,59,69
USC00041758,"CHULA VISTA, CA US",5/13/1996,73,62,68
USC00041758,"CHULA VISTA, CA US",5/14/1996,72,62,67
USC00041758,"CHULA VISTA, CA US",5/15/1996,76,65,71
USC00041758,"CHULA VISTA, CA US",5/16/1996,75,63,69
USC00041758,"CHULA VISTA, CA US",5/17/1996,78,63,71
USC00041758,"CHULA VISTA, CA US",5/18/1996,77,61,69
USC00041758,"CHULA VISTA, CA US",5/19/1996,76,63,70
USC00041758,"CHULA VISTA, CA US",5/20/1996,72,63,68
USC00041758,"CHULA VISTA, CA US",5/21/1996,73,61,67
USC00041758,"CHULA VISTA, CA US",5/22/1996,71,63,67
USC00041758,"CHULA VISTA, CA US",5/23/1996,71,55,63
USC00041758,"CHULA VISTA, CA US",5/24/1996,69,59,64
USC00041758,"CHULA VISTA, CA US",5/25/1996,69,55,62
USC00041758,"CHULA VISTA, CA US",5/26/1996,71,53,62
USC00041758,"CHULA VISTA, CA US",5/27/1996,70,60,65
USC00041758,"CHULA VISTA, CA US",5/28/1996,70,60,65
USC00041758,"CHULA VISTA, CA US",5/29/1996,69,62,66
USC00041758,"CHULA VISTA, CA US",5/30/1996,68,60,64
USC00041758,"CHULA VISTA, CA US",5/31/1996,72,60,66
USC00041758,"CHULA VISTA, CA US",6/1/1996,74,57,66
USC00041758,"CHULA VISTA, CA US",6/2/1996,80,60,70
USC00041758,"CHULA VISTA, CA US",6/3/1996,82,60,71
USC00041758,"CHULA VISTA, CA US",6/4/1996,75,64,70
USC00041758,"CHULA VISTA, CA US",6/5/1996,71,64,68
USC00041758,"CHULA VISTA, CA US",6/6/1996,70,62,66
USC00041758,"CHULA VISTA, CA US",6/7/1996,71,62,67
USC00041758,"CHULA VISTA, CA US",6/8/1996,77,63,70
USC00041758,"CHULA VISTA, CA US",6/9/1996,76,63,70
USC00041758,"CHULA VISTA, CA US",6/10/1996,72,64,68
USC00041758,"CHULA VISTA, CA US",6/11/1996,71,63,67
USC00041758,"CHULA VISTA, CA US",6/12/1996,71,64,68
