County,Date
Ventura ,4/28/1996
Riverside ,4/29/1996
Ventura ,5/1/1996
Riverside ,5/11/1996
Calaveras ,8/12/1996
Tuolumne ,8/14/1996
Tuolumne ,8/14/1996
Monterey ,10/7/1996
Monterey ,10/18/1996
Los Angeles ,10/21/1996
Orange ,10/21/1996
San Diego ,10/21/1996
Kern ,5/16/1997
Santa Barbara ,5/27/1997
Solano ,5/29/1997
Tehama ,6/29/1997
Shasta ,6/29/1997
Shasta ,7/30/1997
San Diego ,8/1/1997
Ventura ,8/5/1997
Fresno ,8/6/1997
Kern ,8/8/1997
Kern ,8/19/1997
Kern ,8/19/1997
Kern ,9/6/1997
San Bernardino ,9/13/1997
Tulare ,9/24/1997
Kern ,9/24/1997
Tulare ,9/24/1997
San Diego ,9/25/1997
Yuba ,9/27/1997
Orange ,10/13/1997
Kern ,8/31/1998
San Bernardino ,8/31/1998
Riverside ,8/31/1998
San Diego ,8/31/1998
Orange ,8/31/1998
Riverside ,9/1/1998
Orange ,9/1/1998
Santa Barbara ,10/16/1998
Ventura ,10/18/1998
El Dorado ,10/20/1998
Fresno ,10/20/1998
Tulare ,10/21/1998
Riverside ,12/9/1998
Orange ,12/9/1998
Los Angeles ,12/9/1998
San Bernardino ,1/2/1999
Los Angeles ,1/3/1999
Riverside ,1/21/1999
San Bernardino ,2/11/1999
Riverside ,3/14/1999
Tulare ,5/23/1999
San Diego ,6/9/1999
San Diego ,6/27/1999
Kern ,6/29/1999
San Diego ,6/29/1999
San Bernardino ,7/6/1999
San Diego ,7/12/1999
Santa Barbara ,7/18/1999
San Bernardino ,7/25/1999
Riverside ,8/9/1999
San Diego ,8/13/1999
San Diego ,8/21/1999
San Diego ,8/21/1999
Shasta ,8/22/1999
Plumas ,8/22/1999
Tehama ,8/23/1999
Shasta ,8/23/1999
Butte ,8/23/1999
Shasta ,8/23/1999
Shasta ,8/23/1999
Trinity ,8/23/1999
San Bernardino ,8/25/1999
San Bernardino ,8/25/1999
San Bernardino ,8/26/1999
Riverside ,8/28/1999
San Bernardino ,8/28/1999
Riverside ,8/28/1999
Los Angeles ,8/29/1999
Los Angeles ,8/29/1999
Riverside ,9/1/1999
Trinity ,9/1/1999
Los Angeles ,9/1/1999
San Bernardino ,9/1/1999
Riverside ,9/1/1999
Plumas ,9/1/1999
Shasta ,9/1/1999
Butte ,9/1/1999
Monterey ,9/8/1999
Calaveras ,9/9/1999
Tulare ,9/18/1999
Shasta ,9/26/1999
Tehama ,9/28/1999
San Diego ,9/28/1999
Yolo ,9/28/1999
San Diego ,9/30/1999
Riverside ,9/30/1999
San Diego ,9/30/1999
San Diego ,10/1/1999
San Diego ,10/1/1999
Riverside ,10/1/1999
Trinity ,10/1/1999
Humboldt ,10/1/1999
Shasta ,10/1/1999
Tehama ,10/1/1999
San Diego ,10/1/1999
San Diego ,10/3/1999
San Diego ,10/8/1999
Butte ,10/15/1999
Shasta ,10/16/1999
Colusa ,10/16/1999
Yuba ,10/16/1999
Riverside ,10/17/1999
Riverside ,10/17/1999
San Diego ,10/17/1999
San Bernardino ,10/17/1999
San Bernardino ,10/17/1999
Riverside ,10/17/1999
San Diego ,10/20/1999
San Bernardino ,10/22/1999
San Diego ,10/26/1999
San Bernardino ,10/29/1999
San Bernardino ,11/14/1999
Riverside ,11/23/1999
Ventura ,12/4/1999
San Diego ,12/21/1999
Ventura ,12/21/1999
Los Angeles ,12/21/1999
Ventura ,12/22/1999
Los Angeles ,12/27/1999
Orange ,12/27/1999
San Bernardino ,1/6/2000
San Diego ,2/2/2000
San Diego ,6/4/2000
San Diego ,7/20/2000
San Diego ,7/22/2000
Tulare ,7/22/2000
Riverside ,7/22/2000
Monterey ,7/22/2000
San Diego ,7/27/2000
Riverside ,7/29/2000
San Diego ,7/31/2000
Tulare ,7/31/2000
Riverside ,8/1/2000
San Diego ,8/1/2000
Kern ,8/2/2000
Shasta ,8/13/2000
San Bernardino ,8/15/2000
Orange ,8/22/2000
Plumas ,9/1/2000
Riverside ,9/8/2000
Orange ,9/11/2000
Santa Barbara ,9/13/2000
Butte ,9/18/2000
Fresno ,9/21/2000
Tehama ,9/29/2000
Tehama ,10/1/2000
San Bernardino ,10/1/2000
Ventura ,12/18/2000
Ventura ,12/25/2000
Ventura ,12/26/2000
San Diego ,12/26/2000
San Diego ,12/26/2000
San Diego ,1/3/2001
Riverside ,1/3/2001
San Bernardino ,1/3/2001
Riverside ,1/3/2001
San Diego ,1/3/2001
San Bernardino ,5/11/2001
Merced ,6/13/2001
Mariposa ,6/13/2001
San Bernardino ,6/14/2001
San Diego ,6/14/2001
San Diego ,6/15/2001
San Bernardino ,6/16/2001
San Bernardino ,6/17/2001
Riverside ,6/17/2001
Riverside ,6/17/2001
Riverside ,6/17/2001
San Bernardino ,6/19/2001
Kern ,6/23/2001
Riverside ,6/23/2001
Riverside ,6/23/2001
Riverside ,6/24/2001
San Bernardino ,6/24/2001
Riverside ,6/24/2001
San Diego ,6/26/2001
San Diego ,6/26/2001
Riverside ,6/29/2001
San Diego ,6/29/2001
San Bernardino ,6/30/2001
Riverside ,7/1/2001
Riverside ,7/1/2001
San Bernardino ,7/1/2001
Riverside ,7/1/2001
San Diego ,7/1/2001
San Bernardino ,7/3/2001
San Diego ,7/7/2001
San Diego ,7/7/2001
Riverside ,7/9/2001
Riverside ,7/11/2001
Riverside ,7/11/2001
San Bernardino ,7/12/2001
Mariposa ,7/13/2001
San Diego ,7/17/2001
Mariposa ,7/24/2001
San Bernardino ,7/27/2001
Fresno ,7/30/2001
Fresno ,8/1/2001
Mariposa ,8/1/2001
Orange ,8/7/2001
San Bernardino ,8/10/2001
San Diego ,8/10/2001
San Diego ,8/14/2001
Fresno ,8/17/2001
Mariposa ,8/18/2001
Fresno ,8/19/2001
Madera ,8/20/2001
San Diego ,8/25/2001
Riverside ,8/26/2001
Trinity ,8/28/2001
Mariposa ,9/1/2001
Fresno ,9/1/2001
Tulare ,9/4/2001
Orange ,9/9/2001
San Bernardino ,9/15/2001
San Diego ,9/16/2001
San Bernardino ,9/23/2001
San Bernardino ,9/24/2001
San Diego ,9/24/2001
San Bernardino ,9/24/2001
Riverside ,9/24/2001
Madera ,9/25/2001
Riverside ,9/27/2001
Madera ,10/1/2001
San Diego ,10/1/2001
San Diego ,10/9/2001
San Bernardino ,10/12/2001
San Bernardino ,10/12/2001
San Bernardino ,10/12/2001
San Bernardino ,10/12/2001
Riverside ,10/26/2001
San Diego ,12/8/2001
San Diego ,12/27/2001
San Bernardino ,1/11/2002
Orange ,1/23/2002
San Bernardino ,1/24/2002
San Diego ,2/9/2002
San Diego ,2/9/2002
San Bernardino ,2/9/2002
Orange ,2/9/2002
San Diego ,2/10/2002
San Diego ,2/10/2002
San Diego ,2/10/2002
San Bernardino ,2/10/2002
Riverside ,2/10/2002
San Diego ,2/10/2002
San Diego ,2/10/2002
San Bernardino ,3/2/2002
Riverside ,3/17/2002
San Diego ,3/21/2002
Riverside ,4/9/2002
Orange ,4/21/2002
San Diego ,5/2/2002
Riverside ,5/3/2002
Riverside ,5/9/2002
Los Angeles ,5/11/2002
San Diego ,5/12/2002
San Diego ,5/13/2002
Orange ,5/13/2002
Riverside ,5/13/2002
San Diego ,5/14/2002
Riverside ,5/14/2002
Riverside ,5/14/2002
Orange ,5/14/2002
Orange ,5/14/2002
San Bernardino ,5/14/2002
Riverside ,5/14/2002
San Bernardino ,5/21/2002
San Bernardino ,5/31/2002
San Bernardino ,6/1/2002
Riverside ,6/1/2002
Ventura ,6/1/2002
Riverside ,6/2/2002
Kern ,6/2/2002
San Diego ,6/3/2002
Riverside ,6/3/2002
Riverside ,6/4/2002
Los Angeles ,6/5/2002
Fresno ,6/9/2002
Kern ,6/15/2002
Santa Barbara ,6/15/2002
San Bernardino ,6/16/2002
Riverside ,6/17/2002
San Bernardino ,6/17/2002
San Diego ,6/17/2002
Riverside ,6/18/2002
San Diego ,6/18/2002
San Diego ,6/18/2002
San Diego ,6/18/2002
San Diego ,6/19/2002
San Bernardino ,6/24/2002
San Diego ,6/24/2002
San Bernardino ,6/24/2002
San Bernardino ,6/24/2002
Riverside ,6/25/2002
Riverside ,6/25/2002
San Bernardino ,6/26/2002
San Bernardino ,6/26/2002
San Diego ,6/28/2002
San Diego ,6/30/2002
Riverside ,6/30/2002
Riverside ,6/30/2002
San Diego ,7/1/2002
Riverside ,7/1/2002
Tulare ,7/4/2002
San Diego ,7/6/2002
San Bernardino ,7/10/2002
San Bernardino ,7/10/2002
Mariposa ,7/11/2002
Del Norte ,7/13/2002
San Diego ,7/13/2002
Orange ,7/16/2002
Riverside ,7/17/2002
San Bernardino ,7/17/2002
Riverside ,7/20/2002
Kern ,7/21/2002
Tulare ,7/21/2002
San Bernardino ,7/22/2002
San Bernardino ,7/23/2002
Mariposa ,7/24/2002
San Bernardino ,7/24/2002
San Diego ,7/25/2002
Riverside ,7/26/2002
San Diego ,7/26/2002
San Bernardino ,7/28/2002
San Bernardino ,7/29/2002
Orange ,7/29/2002
San Diego ,7/29/2002
San Diego ,8/1/2002
Mariposa ,8/1/2002
Del Norte ,8/1/2002
Tulare ,8/1/2002
San Bernardino ,8/4/2002
San Diego ,8/4/2002
San Bernardino ,8/6/2002
San Diego ,8/9/2002
San Diego ,8/9/2002
Riverside ,8/11/2002
Riverside ,8/11/2002
San Luis Obispo ,8/17/2002
San Diego ,8/24/2002
San Diego ,8/27/2002
San Bernardino ,8/29/2002
Mariposa ,9/1/2002
Los Angeles ,9/1/2002
Los Angeles ,9/2/2002
Riverside ,9/4/2002
San Bernardino ,9/5/2002
Riverside ,9/11/2002
San Diego ,9/16/2002
Los Angeles ,9/22/2002
Riverside ,10/2/2002
San Bernardino ,10/13/2002
Orange ,11/20/2002
Riverside ,11/26/2002
Orange ,11/26/2002
Madera ,11/27/2002
Riverside ,1/6/2003
Los Angeles ,1/6/2003
Fresno ,1/11/2003
Fresno ,2/1/2003
San Diego ,5/19/2003
Riverside ,5/26/2003
Merced ,6/2/2003
Kern ,6/6/2003
San Bernardino ,6/13/2003
Merced ,6/15/2003
San Bernardino ,6/15/2003
Kern ,6/16/2003
Riverside ,6/26/2003
Riverside ,6/26/2003
Kern ,6/26/2003
Tulare ,6/28/2003
Kern ,6/29/2003
Kern ,6/29/2003
Riverside ,6/30/2003
Riverside ,6/30/2003
San Diego ,6/30/2003
Merced ,6/30/2003
San Diego ,7/1/2003
Kern ,7/1/2003
Mariposa ,7/3/2003
Riverside ,7/3/2003
Riverside ,7/4/2003
San Bernardino ,7/5/2003
Riverside ,7/5/2003
Riverside ,7/6/2003
San Bernardino ,7/6/2003
San Bernardino ,7/7/2003
Kern ,7/7/2003
San Diego ,7/7/2003
Kern ,7/8/2003
Tulare ,7/8/2003
Madera ,7/8/2003
Mariposa ,7/8/2003
San Diego ,7/12/2003
San Diego ,7/13/2003
Riverside ,7/14/2003
Kern ,7/15/2003
Riverside ,7/16/2003
San Diego ,7/16/2003
Mariposa ,7/19/2003
Kern ,7/20/2003
Mariposa ,7/20/2003
Kern ,7/21/2003
Kern ,7/23/2003
Riverside ,7/25/2003
San Bernardino ,7/26/2003
San Bernardino ,7/27/2003
Tulare ,7/28/2003
Kern ,7/30/2003
Riverside ,7/30/2003
Tulare ,7/31/2003
Tulare ,8/1/2003
Mariposa ,8/1/2003
Tulare ,8/1/2003
Mariposa ,8/1/2003
Kern ,8/1/2003
San Diego ,8/4/2003
San Diego ,8/10/2003
San Bernardino ,8/14/2003
San Bernardino ,8/15/2003
Riverside ,8/17/2003
Riverside ,8/18/2003
Riverside ,8/18/2003
San Bernardino ,8/20/2003
Tulare ,8/21/2003
San Diego ,8/23/2003
Riverside ,8/23/2003
San Bernardino ,8/23/2003
Santa Clara ,8/25/2003
Mariposa ,8/26/2003
San Diego ,8/27/2003
San Bernardino ,8/28/2003
Mariposa ,9/1/2003
Mariposa ,9/1/2003
Tulare ,9/1/2003
Riverside ,9/2/2003
Madera ,9/3/2003
Humboldt ,9/3/2003
Trinity ,9/3/2003
Mendocino ,9/3/2003
Riverside ,9/3/2003
San Diego ,9/3/2003
Tulare ,9/3/2003
Tulare ,9/5/2003
San Bernardino ,9/5/2003
Siskiyou ,9/12/2003
San Bernardino ,9/12/2003
Tulare ,9/15/2003
San Bernardino ,9/17/2003
Siskiyou ,9/21/2003
Riverside ,9/23/2003
Tulare ,10/1/2003
Mariposa ,10/1/2003
Tulare ,10/1/2003
Tulare ,10/1/2003
Mariposa ,10/1/2003
Madera ,10/1/2003
San Bernardino ,10/1/2003
San Bernardino ,10/1/2003
Siskiyou ,10/12/2003
San Diego ,10/21/2003
Los Angeles ,10/21/2003
San Bernardino ,10/21/2003
Riverside ,10/21/2003
Ventura ,10/23/2003
Siskiyou ,10/24/2003
Los Angeles ,10/24/2003
San Bernardino ,10/25/2003
Ventura ,10/25/2003
San Diego ,10/25/2003
San Diego ,10/26/2003
Riverside ,10/26/2003
San Diego ,10/26/2003
Riverside ,10/26/2003
C Ventura ,11/1/2003
Tulare ,11/1/2003
Tulare ,11/1/2003
Tulare ,11/1/2003
S Ventura T X S ,11/1/2003
N Los Angeles T X N ,11/1/2003
San Bernardino ,11/1/2003
San Bernardino ,11/1/2003
Riverside ,11/1/2003
San Diego ,11/1/2003
San Diego ,11/1/2003
San Bernardino County Mountains ,3/25/2004
