County,incident_acres_burned,Date
Yuba,0,3/3/2020
Yuba,10,5/29/2017
Yuba,26,9/26/2017
Yuba,30,8/3/2015
Yuba,38,7/6/2019
Yuba,39,7/24/2017
Yuba,50,7/8/2017
Yuba,70,6/8/2019
Yuba,73,7/8/2013
Yuba,80,6/25/2019
Yuba,80,6/24/2019
Yuba,158,6/18/2015
Yuba,400,8/18/2016
Yuba,500,7/15/2020
Yuba,600,8/2/2020
Yuba,867,8/20/2017
Yuba,1311,9/9/2020
Yuba,9989,10/8/2017
Yolo,0,11/25/2019
Yolo,14,6/1/2018
Yolo,33,8/10/2019
Yolo,84,7/15/2016
Yolo,163,11/4/2013
Yolo,277,6/26/2016
Yolo,822,7/18/2018
Yolo,2269,7/6/2017
Yolo,2512,6/8/2019
Yolo,5731,8/2/2016
Yolo,6488,7/4/2014
Ventura,15,7/11/2016
Ventura,45,7/1/2016
Ventura,50,11/7/2015
Ventura,50,7/4/2017
Ventura,64,11/14/2013
Ventura,78,7/13/2016
Ventura,86,10/24/2017
Ventura,91,10/10/2019
Ventura,131,7/14/2019
Ventura,150,11/15/2018
Ventura,186,11/12/2018
Ventura,200,10/11/2019
Ventura,279,9/1/2019
Ventura,289,6/10/2020
Ventura,803,6/10/2020
Ventura,1806,10/30/2019
Ventura,2304,6/30/2016
Ventura,3000,8/17/2020
Ventura,4531,11/8/2018
Ventura,9999,10/31/2019
Tuolumne,0,8/18/2020
Tuolumne,10,6/21/2020
Tuolumne,20,8/1/2017
Tuolumne,21,8/8/2019
Tuolumne,32,7/30/2016
Tuolumne,38,6/11/2017
Tuolumne,39,9/19/2017
Tuolumne,70,9/4/2014
Tuolumne,83,9/23/2019
Tuolumne,85,5/30/2016
Tuolumne,100,6/2/2013
Tuolumne,108,9/8/2015
Tuolumne,112,8/15/2015
Tuolumne,124,7/30/2017
Tuolumne,163,6/24/2018
Tuolumne,204,7/29/2015
Tuolumne,269,6/5/2014
Tuolumne,487,6/4/2014
Tuolumne,573,9/8/2018
Tuolumne,690,7/29/2017
Tuolumne,1070,8/5/2013
Tuolumne,1080,9/26/2016
Tuolumne,2857,8/20/2020
Tuolumne,36450,8/1/2018
Tuolumne,257314,8/17/2013
Tulare,0,6/1/2016
Tulare,0,6/23/2017
Tulare,10,10/20/2016
Tulare,21,7/5/2017
Tulare,25,6/3/2019
Tulare,26,5/18/2018
Tulare,33,6/3/2019
Tulare,34,7/19/2018
Tulare,47,6/10/2019
Tulare,58,7/18/2017
Tulare,59,7/17/2017
Tulare,79,5/31/2017
Tulare,86,7/30/2015
Tulare,100,7/27/2018
Tulare,120,10/24/2018
Tulare,130,6/18/2020
Tulare,134,9/8/2013
Tulare,135,6/13/2017
Tulare,155,6/1/2019
Tulare,217,6/19/2020
Tulare,257,6/2/2019
Tulare,339,6/7/2017
Tulare,381,9/6/2019
Tulare,395,8/22/2016
Tulare,416,7/20/2017
Tulare,430,7/21/2015
Tulare,668,8/15/2018
Tulare,756,8/31/2019
Tulare,1050,6/22/2020
Tulare,2060,8/24/2013
Tulare,2289,7/30/2017
Tulare,2295,8/2/2017
Tulare,4347,10/29/2016
Tulare,6980,7/19/2015
Tulare,18900,9/27/2017
Tulare,36556,8/29/2017
Trinity,0,9/1/2020
Trinity,15,7/1/2014
Trinity,32,8/2/2017
Trinity,32,8/2/2017
Trinity,35,9/8/2015
Trinity,55,4/25/2020
Trinity,62,6/30/2020
Trinity,128,8/25/2015
Trinity,148,10/14/2017
Trinity,244,9/5/2019
Trinity,280,9/7/2019
Trinity,300,6/28/2018
Trinity,580,8/24/2014
Trinity,1542,6/10/2015
Trinity,1751,9/4/2018
Trinity,4736,8/7/2017
Trinity,13417,9/12/2017
Trinity,21846,8/30/2017
Tehama,0,8/1/2020
Tehama,10,10/8/2017
Tehama,10,6/3/2018
Tehama,10,10/9/2019
Tehama,11,10/7/2019
Tehama,15,8/10/2017
Tehama,20,10/3/2017
Tehama,23,6/1/2018
Tehama,26,4/23/2020
Tehama,29,7/8/2017
Tehama,33,7/14/2018
Tehama,40,8/26/2017
Tehama,42,6/24/2017
Tehama,43,6/21/2016
Tehama,43,11/2/2017
Tehama,46,6/22/2019
Tehama,50,7/15/2018
Tehama,55,6/17/2015
Tehama,57,7/28/2017
Tehama,60,6/18/2017
Tehama,60,11/5/2018
Tehama,63,5/20/2019
Tehama,68,10/9/2019
Tehama,68,6/17/2020
Tehama,70,6/13/2018
Tehama,75,2/23/2020
Tehama,78,6/4/2017
Tehama,80,6/11/2016
Tehama,80,8/3/2016
Tehama,88,7/1/2016
Tehama,103,5/18/2018
Tehama,110,8/8/2015
Tehama,170,7/4/2015
Tehama,170,6/23/2018
Tehama,194,10/26/2017
Tehama,195,7/19/2013
Tehama,200,7/4/2013
Tehama,225,6/13/2014
Tehama,261,9/28/2018
Tehama,268,6/23/2018
Tehama,360,9/13/2016
Tehama,464,6/30/2016
Tehama,605,10/27/2019
Tehama,856,7/9/2018
Tehama,865,1/2/2014
Tehama,2534,11/3/2019
Tehama,2956,6/9/2018
Tehama,3716,6/23/2018
Tehama,3889,10/7/2018
Tehama,5332,9/5/2019
Tehama,6965,5/1/2013
Tehama,8838,9/5/2019
Tehama,11429,8/23/2013
Sutter,300,9/20/2016
Sutter,1200,7/31/2018
Sutter,1350,6/8/2019
Stanislaus,11,9/13/2019
Stanislaus,13,10/18/2017
Stanislaus,18,10/3/2019
Stanislaus,19,7/18/2017
Stanislaus,35,7/18/2019
Stanislaus,40,7/28/2015
Stanislaus,45,9/8/2020
Stanislaus,62,7/8/2017
Stanislaus,63,5/29/2018
Stanislaus,65,6/21/2017
Stanislaus,80,6/8/2020
Stanislaus,120,6/7/2016
Stanislaus,150,7/12/2013
Stanislaus,190,9/11/2019
Stanislaus,202,7/15/2019
Stanislaus,202,6/25/2020
Stanislaus,600,6/7/2019
Stanislaus,1749,9/3/2017
Stanislaus,2422,6/26/2019
Stanislaus,5247,7/31/2017
Sonoma; Solano; Lake; Colusa,28,6/10/2013
Sonoma,0,10/9/2017
Sonoma,10,6/5/2018
Sonoma,11,7/31/2017
Sonoma,18,8/27/2017
Sonoma,20,10/7/2017
Sonoma,100,10/14/2017
Sonoma,107,6/6/2020
Sonoma,125,5/1/2013
Sonoma,141,6/5/2020
Sonoma,158,7/26/2013
Sonoma,159,10/4/2013
Sonoma,1547,9/25/2016
Sonoma,1660,10/9/2017
Sonoma,3505,11/22/2013
Sonoma,17357,10/9/2017
Sonoma,77758,10/23/2019
Solano,24,6/7/2019
Solano,30,9/26/2019
Solano,39,6/22/2017
Solano,40,7/10/2015
Solano,55,9/23/2017
Solano,57,7/22/2016
Solano,70,6/12/2014
Solano,75,7/6/2020
Solano,79,6/5/2020
Solano,81,8/13/2019
Solano,100,10/2/2017
Solano,124,6/18/2013
Solano,140,10/27/2019
Solano,150,7/6/2015
Solano,160,10/12/2018
Solano,183,7/24/2019
Solano,300,6/3/2020
