EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION
5549398,VENTURA CO.,FILLMORE,4/28/1996,1400,Wildfire,,,0,2,0,0,CA,PST,,2030635,C,111,LOX,0,0,,,,,,,,,FILLMORE
5549399,RIVERSIDE CO.,RUBIDOUX,4/29/1996,900,Wildfire,,,0,0,0,0,CA,PST,,2030636,C,65,LOX,0,0,,,,,,,,,RUBIDOUX
5545326,VENTURA CO.,FILLMORE,5/1/1996,0,Wildfire,,,0,3,0,500000,CA,PST,,2032515,C,111,LOX,0,0,,,,,,,,,FILLMORE
5545327,RIVERSIDE CO.,RIVERSIDE,5/11/1996,1600,Wildfire,,,0,0,0,0,CA,PST,,2032516,C,65,LOX,0,0,,,,,,,,,RIVERSIDE
5575790,CALAVERAS CO.,T-C RANGER UNIT,8/12/1996,900,Wildfire,,,0,0,0,0,CA,PST,,2055490,C,9,STO,0,0,,,,,,,,,T-C RANGER UNIT
5575788,TUOLUMNE CO.,STANISLAUS NAT. FOR.,8/14/1996,730,Wildfire,,,0,0,0,0,CA,PST,,2055489,C,109,STO,0,0,,,,,,,,,STANISLAUS NAT. FOR.
5575789,TUOLUMNE CO.,YOSEMITE NAT. PARK,8/14/1996,800,Wildfire,,,0,0,0,0,CA,PST,,1030064,C,109,STO,0,0,,,,,,,,,YOSEMITE NAT. PARK
5578331,MONTEREY CO.,CAMBRIA,10/7/1996,0,Wildfire,,,0,3,4500000,1000000,CA,PST,,2054630,C,53,MTR,0,0,,,,,45,N,30,S,CARMEL
5578493,MONTEREY CO.,BIG SUR,10/18/1996,700,Wildfire,,,0,0,12300000,0,CA,PST,,2054631,C,53,MTR,0,0,,,,,2,S,10,S,BIG SUR
5564248,LOS ANGELES CO.,MALIBU,10/21/1996,800,Wildfire,,,0,16,1500000,0,CA,PST,,2048455,C,37,LOX,0,0,,,,,,,,,MALIBU
5564249,ORANGE CO.,LEMON HEIGHTS,10/21/1996,900,Wildfire,,,0,0,3000000,0,CA,PST,,2048456,C,59,LOX,0,0,,,,,,,,,LEMON HEIGHTS
5576435,SAN DIEGO CO.,HARMONY GROVE,10/21/1996,1400,Wildfire,45,,0,6,37400000,0,CA,PST,,2055579,C,73,SGX,0,0,,,,,,,,,OTAY
5608767,KERN CO.,TAFT,5/16/1997,1600,Wildfire,,,0,0,0,0,CA,PST,,1043981,C,29,HNX,0,0,,,,,10,N,10,N,TAFT
5600707,SANTA BARBARA CO.,HAPPY CANYON,5/27/1997,1715,Wildfire,,,0,0,0,0,CA,PST,,2062672,C,83,LOX,0,0,,,,,,,,,HAPPY CANYON
5624135,SOLANO CO.,SUISUN CITY,5/29/1997,1510,Wildfire,,,0,0,150000,0,CA,PST,,2071742,C,95,STO,0,0,,,,,,,,,SUISUN CITY
5624140,TEHAMA CO.,COUNTYWIDE,6/29/1997,1400,Wildfire,,,0,0,0,0,CA,PST,,1050620,C,103,STO,0,0,,,,,,,,,COUNTYWIDE
5624141,SHASTA CO.,REDDING,6/29/1997,1400,Wildfire,,,0,0,0,0,CA,PST,,1050620,C,89,STO,0,0,,,,,10,NE,10,NE,REDDING
5624145,SHASTA CO.,MANZANITA LAKE,7/30/1997,1500,Wildfire,,,0,0,2000000,10000000,CA,PST,,2071747,C,89,STO,0,0,,,,,9,E,9,E,MANZANITA LAKE
